-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1
-1,-1,12,6,6,19,19,19,19,52,37,49,61,49,61,49,49,53,6,19,19,6,19,6,6,19,19,6,19,19,19,19,19,6,18,29,29,14,-1,-1
-1,-1,12,19,19,5,19,6,52,71,40,40,40,40,40,40,40,70,53,6,6,6,19,6,19,6,6,19,19,19,19,6,19,19,19,7,17,14,-1,-1
-1,-1,12,19,6,19,19,19,36,40,40,40,40,40,40,40,40,40,70,53,6,19,19,19,19,19,19,19,19,3,4,18,6,19,6,19,29,14,-1,-1
-1,-1,12,19,19,6,6,19,48,40,40,40,40,40,40,40,40,40,40,51,6,6,6,6,6,19,19,6,19,14,12,17,29,6,19,6,17,14,-1,-1
-1,-1,12,6,19,6,19,6,64,59,40,40,40,40,40,40,40,40,40,39,6,19,19,19,19,19,6,19,19,14,12,29,7,6,19,19,6,14,-1,-1
-1,-1,12,6,7,18,6,19,6,36,40,40,40,40,40,40,40,40,40,39,19,19,19,19,19,6,6,6,6,14,12,7,18,29,6,6,19,14,-1,-1
-1,-1,12,6,29,29,29,7,19,64,59,40,40,40,40,40,40,40,58,65,6,6,19,6,19,6,6,28,19,14,12,19,19,19,19,6,19,14,-1,-1
-1,-1,12,19,18,19,7,19,19,19,64,38,38,50,38,50,50,50,65,6,19,19,19,19,19,19,19,19,6,14,12,19,6,19,6,19,19,14,-1,-1
-1,-1,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,24,25,25,4,19,19,3,26,-1,-1
-1,-1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,16,19,6,15,2,-1,-1
-1,-1,12,19,19,6,48,40,67,40,51,6,19,14,12,19,19,6,48,40,39,7,18,6,14,12,19,19,19,6,19,19,17,19,19,19,19,14,-1,-1
-1,-1,12,19,18,17,60,40,67,40,51,27,6,15,16,19,6,6,36,40,51,19,29,7,15,16,19,6,7,19,19,7,44,6,6,19,19,14,-1,-1
-1,-1,12,19,6,6,48,40,30,54,9,19,19,6,6,6,19,6,48,40,39,6,6,6,6,19,19,19,29,6,19,19,19,19,19,6,19,14,-1,-1
-1,-1,12,19,19,6,20,54,43,40,51,6,6,6,6,19,19,6,36,40,51,6,19,19,19,19,6,19,19,19,19,6,29,18,6,19,19,14,-1,-1
-1,-1,12,19,6,19,36,40,67,40,51,19,19,3,4,6,6,19,36,40,39,6,27,19,3,4,19,19,19,6,19,18,17,7,6,6,19,14,-1,-1
-1,-1,12,6,19,6,36,40,67,40,51,19,6,14,12,6,19,19,48,40,51,19,19,6,14,12,19,6,19,19,6,19,6,19,19,19,19,14,-1,-1
-1,-1,24,25,25,25,25,25,25,25,25,25,25,26,24,25,25,25,25,25,25,25,25,25,26,24,25,25,25,25,25,25,25,25,25,25,25,26,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
